,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Value at Median $ per Sq. Ft.(2017)
12293,462-58-006,37.2719684,-121.8334177,"4373 Stone Canyon Dr San Jose, CA 95136",17063,8,5940,0,1978,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12294,462-58-009,37.2720284,-121.8338096,"4278 Spoonwood CT San Jose, CA 95136",17063,8,6360,0,1976,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12295,462-58-014,37.2726893,-121.8340692,"4255 Spoonwood CT San Jose, CA 95136",17063,8,7700,0,1976,2352,12.0,5.0,2.5,95136,860000,482,908732.0
12296,462-58-017,37.2722058,-121.8343062,"4273 Spoonwood CT San Jose, CA 95136",17063,8,6000,0,1976,1983,8.0,4.0,2.0,95136,858000,479,760225.6
12297,462-58-018,37.2720549,-121.8342968,"4279 Spoonwood CT San Jose, CA 95136",17063,8,5512,0,1976,1442,6.0,3.0,2.0,95136,860000,482,557139.2
12298,462-58-019,37.2718958,-121.8343201,"4285 Spoonwood CT San Jose, CA 95136",17063,8,6000,0,1976,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12299,462-58-022,37.2718827,-121.8349845,"129 Sugar Maple Dr San Jose, CA 95136",17063,8,5995,0,1976,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12300,462-58-024,37.2718471,-121.8353507,"137 Sugar Maple Dr San Jose, CA 95136",17063,8,5830,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12301,462-58-025,37.2718008,-121.8355567,"139 Sugar Maple Dr San Jose, CA 95136",17063,8,5830,0,1976,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12302,462-58-026,37.2717521,-121.8357442,"141 Sugar Maple Dr San Jose, CA 95136",17063,8,5720,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12303,462-58-030,37.2719264,-121.8360875,"142 Juneberry CT San Jose, CA 95136",17063,8,6032,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
